ID,VIDEO,LABEL
3,D0003.mp4,địa chỉ
5,D0005.mp4,tiếp tân
2,D0002.mp4,địa chỉ
1,D0001.mp4,địa chỉ
4,D0004.mp4,tỉnh
6,D0006.mp4,nhân viên
7,D0007.mp4,Miến Điện (nước Mi-an-ma)
10,D0010.mp4,Ma Cao
8,D0008.mp4,Miến Điện (nước Mi-an-ma)
9,D0009.mp4,Miến Điện (nước Mi-an-ma)
12,D0012.mp4,Ả Rập (nước Ả Rập)
11,D0011.mp4,Do Thái
14,D0014.mp4,phương Đông
13,D0013.mp4,phương Tây
15,D0015.mp4,Đu Bai (nước Đu Bai)
16,D0016.mp4,Albania (nước Albania)
17,D0017.mp4,người nước ngoài
18,D0018.mp4,nhập khẩu
19,D0019.mp4,Tuy Hoà
20,D0020.mp4,Quy Nhơn
21,D0021.mp4,hấp dẫn
23,D0023.mp4,ghen tị
22,D0022.mp4,nổi da gà
24,D0024.mp4,ghen tị
25,D0025.mp4,ghen tị
27,D0027.mp4,lung tung
26,D0026.mp4,lung tung
29,D0029.mp4,hói đầu
30,D0030.mp4,cười nhếch mép
28,D0028.mp4,lung tung
31,D0031.mp4,cười vỡ bụng
32,D0032.mp4,tham ăn
33,D0033.mp4,tham ăn
34,D0034.mp4,tham ăn
35,D0035.mp4,thèm
36,D0036.mp4,thèm rỏ dãi
38,D0038.mp4,thói quen
37,D0037.mp4,đứng đầu (hàng đầu)
39,D0039.mp4,thói quen
40,D0040.mp4,thói quen
41,D0041.mp4,khuyến khích
42,D0042.mp4,không nghe lời
43,D0043.mp4,không nghe lời
44,D0044.mp4,không nghe lời
45,D0045.mp4,ai cho
46,D0046.mp4,không cho
47,D0047.mp4,không cho
48,D0048.mp4,không cho
50,D0050.mp4,không nên
49,D0049.mp4,không cần
51,D0051.mp4,không nên
52,D0052.mp4,không nên
54,D0054.mp4,tự giác
55,D0055.mp4,mù chữ
57,D0057.mp4,Tết hàn thực
56,D0056.mp4,vô tình
58,D0058.mp4,Tết hàn thực
59,D0059.mp4,Tết hàn thực
60,D0060.mp4,giỗ
61,D0061.mp4,ngày Quốc tế phụ nữ 8/3
62,D0062.mp4,ngày Quốc tế phụ nữ 8/3
63,D0063.mp4,ngày Quốc tế phụ nữ 8/3
53,D0053.mp4,bực mình
64,D0064.mp4,ngày giải phóng thủ đô 10/10
65,D0065.mp4,ngày giải phóng thủ đô 10/10
66,D0066.mp4,ngày giải phóng thủ đô 10/10
67,D0067.mp4,ngày Giải phóng miền Nam 30/4
70,D0070.mp4,ngày Người khuyết tật Việt Nam 18/4
69,D0069.mp4,ngày Giải phóng miền Nam 30/4
71,D0071.mp4,ngày Người khuyết tật Việt Nam 18/4
72,D0072.mp4,ngày Người khuyết tật Việt Nam 18/4
74,D0074.mp4,ngày Người khuyết tật Thế giới 3/12
73,D0073.mp4,ngày Người khuyết tật Thế giới 3/12
68,D0068.mp4,ngày Giải phóng miền Nam 30/4
75,D0075.mp4,ngày Người khuyết tật Thế giới 3/12
76,D0076.mp4,lễ Halloween 31/10
77,D0077.mp4,lễ Halloween 31/10
78,D0078.mp4,lễ Halloween 31/10
79,D0079.mp4,ngày Phụ nữ Việt Nam 20/10
80,D0080.mp4,ngày Phụ nữ Việt Nam 20/10
81,D0081.mp4,ngày Phụ nữ Việt Nam 20/10
82,D0082.mp4,ngày thương bình liệt sĩ 27/7
83,D0083.mp4,ngày thương bình liệt sĩ 27/7
84,D0084.mp4,ngày thương bình liệt sĩ 27/7
85,D0085.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
86,D0086.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
87,D0087.mp4,ngày giỗ tổ Hùng Vương (âm lịch 10/3)
88,D0088.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
89,D0089.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
90,D0090.mp4,ngày Ngôn ngữ kí hiệu Quốc tế 23/9
92,D0092.mp4,tuần lễ người Điếc thế giới
91,D0091.mp4,tuần lễ người Điếc thế giới
93,D0093.mp4,tuần lễ người Điếc thế giới
94,D0094.mp4,ngày của Mẹ
95,D0095.mp4,ngày của Mẹ
97,D0097.mp4,ngày của Cha
96,D0096.mp4,ngày của Mẹ
98,D0098.mp4,ngày của Cha
99,D0099.mp4,ngày của Cha
100,D0100.mp4,ngày gia đình Việt Nam 28/6
102,D0102.mp4,ngày gia đình Việt Nam 28/6
101,D0101.mp4,ngày gia đình Việt Nam 28/6
103,D0103.mp4,ngày thầy thuốc Việt Nam
104,D0104.mp4,ngày thầy thuốc Việt Nam
106,D0106.mp4,ngày thành lập quân đội nhân dân Việt Nam
107,D0107.mp4,ngày thành lập quân đội nhân dân Việt Nam
105,D0105.mp4,ngày thầy thuốc Việt Nam
108,D0108.mp4,ngày thành lập quân đội nhân dân Việt Nam
109,D0109.mp4,con cá sấu
110,D0110.mp4,nhầm
111,D0111.mp4,nhầm
112,D0112.mp4,nhầm
113,D0113.mp4,đồng bằng sông Cửu Long
114,D0114.mp4,đồng bằng sông Hồng
115,D0115.mp4,đồng bằng duyên hải miền Trung
116,D0116.mp4,buồn thảm
117,D0117.mp4,mách
118,D0118.mp4,mách
119,D0119.mp4,mách
121,D0121.mp4,vô duyên
120,D0120.mp4,vô duyên
122,D0122.mp4,vô duyên
123,D0123.mp4,ti hí mắt
124,D0124.mp4,kịp thời
126,D0126.mp4,hú vía
127,D0127.mp4,suỵt
125,D0125.mp4,bối rối
128,D0128.mp4,suýt
129,D0129.mp4,suýt
130,D0130.mp4,suýt
131,D0131.mp4,cá voi
133,D0133.mp4,đuôi cá
132,D0132.mp4,cá kiếm
134,D0134.mp4,đuôi chuột
135,D0135.mp4,bít tết (bò)
136,D0136.mp4,bít tết (bò)
137,D0137.mp4,bít tết (bò)
138,D0138.mp4,súp
139,D0139.mp4,súp lơ
140,D0140.mp4,mỳ tôm
141,D0141.mp4,mỳ tôm
142,D0142.mp4,mỳ tôm
144,D0144.mp4,mỳ ý
143,D0143.mp4,mỳ vằn thắn
145,D0145.mp4,mỳ ý
146,D0146.mp4,mỳ ý
147,D0147.mp4,bún mắm
148,D0148.mp4,bún chả
149,D0149.mp4,bún ngan
150,D0150.mp4,bún ốc
151,D0151.mp4,bún đậu
152,D0152.mp4,xôi gấc
153,D0153.mp4,xôi gà
155,D0155.mp4,cơm rang
156,D0156.mp4,nhấn mạnh
154,D0154.mp4,cháo sườn
158,D0158.mp4,thí nghiệm
157,D0157.mp4,đạo diễn
160,D0160.mp4,khả năng
159,D0159.mp4,cắm trại
161,D0161.mp4,kỹ năng
162,D0162.mp4,có … không?
163,D0163.mp4,cung cấp
164,D0164.mp4,khờ dại
166,D0166.mp4,may mắn
165,D0165.mp4,cực khổ
167,D0167.mp4,từ chối
168,D0168.mp4,từ chối
170,D0170.mp4,nấu nướng
171,D0171.mp4,xoa đầu
169,D0169.mp4,từ chối
172,D0172.mp4,rực rỡ
173,D0173.mp4,thiệp sinh nhật
177,D0177.mp4,không quen
176,D0176.mp4,không quen
174,D0174.mp4,thiệp sinh nhật
175,D0175.mp4,thiệp sinh nhật
178,D0178.mp4,không quen
179,D0179.mp4,bánh tráng
184,D0184.mp4,không có chi
181,D0181.mp4,tương ớt
185,D0185.mp4,dân chủ
180,D0180.mp4,tương ớt
182,D0182.mp4,tương ớt
186,D0186.mp4,xử lý
187,D0187.mp4,đất ruộng
188,D0188.mp4,tinh mắt
190,D0190.mp4,đúng không?
183,D0183.mp4,không có
191,D0191.mp4,đúng không?
189,D0189.mp4,cũng vậy/cũng thế
192,D0192.mp4,đúng không?
193,D0193.mp4,phải không?
194,D0194.mp4,phải không?
195,D0195.mp4,phải không?
196,D0196.mp4,còn bạn?
197,D0197.mp4,cần không?
198,D0198.mp4,cần không?
199,D0199.mp4,cần không?
200,D0200.mp4,nên không?
201,D0201.mp4,nên không?
202,D0202.mp4,nên không?
203,D0203.mp4,kia
206,D0206.mp4,căm thù
205,D0205.mp4,sợ không?
204,D0204.mp4,nóng tính
207,D0207.mp4,đẹp không? (người)
208,D0208.mp4,đẹp không? (người)
211,D0211.mp4,không đẹp
210,D0210.mp4,không đẹp
209,D0209.mp4,đẹp không? (người)
212,D0212.mp4,không đẹp
213,D0213.mp4,chúng tôi (2 người) (đại từ)
215,D0215.mp4,chúng tôi (4 người) (đại từ)
216,D0216.mp4,chúng tôi (5 người) (đại từ)
217,D0217.mp4,chúng tôi (đại từ)
214,D0214.mp4,chúng tôi (3 người) (đại từ)
218,D0218.mp4,các bạn (2 người)
219,D0219.mp4,họ (2 người) (đại từ)
221,D0221.mp4,bạn yêu tôi
220,D0220.mp4,họ (đại từ)
222,D0222.mp4,tôi yêu bạn ấy
223,D0223.mp4,bạn ấy yêu tôi
226,D0226.mp4,"anh hai, anh cả"
227,D0227.mp4,"anh hai, anh cả"
224,D0224.mp4,bạn yêu bạn ấy
225,D0225.mp4,bạn ấy yêu bạn
228,D0228.mp4,"anh hai, anh cả"
230,D0230.mp4,"chị hai, chị cả"
229,D0229.mp4,"chị hai, chị cả"
231,D0231.mp4,"chị hai, chị cả"
232,D0232.mp4,quả bầu hồ lô
233,D0233.mp4,một là
236,D0236.mp4,bốn là
235,D0235.mp4,ba là
234,D0234.mp4,hai là
237,D0237.mp4,năm là
238,D0238.mp4,ông bà
239,D0239.mp4,ông bà
241,D0241.mp4,chị họ
243,D0243.mp4,chị họ
244,D0244.mp4,em họ
240,D0240.mp4,ông bà
245,D0245.mp4,em họ
242,D0242.mp4,chị họ
246,D0246.mp4,em họ
247,D0247.mp4,cháu họ
248,D0248.mp4,cháu họ
249,D0249.mp4,cháu họ
250,D0250.mp4,sống sót
251,D0251.mp4,sống sót
252,D0252.mp4,sống sót
253,D0253.mp4,thường xuyên
254,D0254.mp4,thường xuyên
255,D0255.mp4,thường xuyên
256,D0256.mp4,thường xuyên
258,D0258.mp4,đi dạo
259,D0259.mp4,đi dạo
260,D0260.mp4,về (Sài Gòn)
261,D0261.mp4,về 2 (Miền Bắc)
257,D0257.mp4,đi dạo
262,D0262.mp4,về 2 (Miền Bắc)
263,D0263.mp4,về 3 (đi về)
264,D0264.mp4,về 4 (từ nơi khác về)
265,D0265.mp4,về 5 (về nhà)
266,D0266.mp4,hẹn
267,D0267.mp4,hẹn
268,D0268.mp4,hẹn
269,D0269.mp4,quyến luyến
271,D0271.mp4,hứa
270,D0270.mp4,hứa
273,D0273.mp4,cùng / với (giới từ)
276,D0276.mp4,vẫn
277,D0277.mp4,vẫn
275,D0275.mp4,lâu
278,D0278.mp4,vẫn
272,D0272.mp4,hứa
280,D0280.mp4,mỗi ngày
279,D0279.mp4,mỗi ngày
281,D0281.mp4,mỗi ngày
283,D0283.mp4,hàng ngày
284,D0284.mp4,hàng ngày
274,D0274.mp4,lâu
285,D0285.mp4,ăn vú sữa (bằng thìa)
288,D0288.mp4,trông nhà
286,D0286.mp4,ăn vú sữa
287,D0287.mp4,hôi
289,D0289.mp4,chạy (động vật)
282,D0282.mp4,hàng ngày
291,D0291.mp4,bay nhanh (máy bay)
290,D0290.mp4,xe container
292,D0292.mp4,chậm chạp
293,D0293.mp4,ngừng lại
294,D0294.mp4,5 > 3 (Toán học)
296,D0296.mp4,cung điện
295,D0295.mp4,2 < 6 (Toán học)
297,D0297.mp4,cung điện
298,D0298.mp4,cung điện
299,D0299.mp4,dừng lại
301,D0301.mp4,kẹt xe/tắc đường
303,D0303.mp4,thì thầm
304,D0304.mp4,hoặc
305,D0305.mp4,hoặc
306,D0306.mp4,hoặc
308,D0308.mp4,muốn không?
309,D0309.mp4,muốn không?
310,D0310.mp4,không muốn
300,D0300.mp4,một ít/ một chút
302,D0302.mp4,suy ra (Toán học)
311,D0311.mp4,không muốn
307,D0307.mp4,muốn không?
312,D0312.mp4,không muốn
313,D0313.mp4,sa mạc
314,D0314.mp4,xem
315,D0315.mp4,xem
316,D0316.mp4,xem
317,D0317.mp4,núi cao
318,D0318.mp4,núi thấp
319,D0319.mp4,đẹp không?
320,D0320.mp4,đẹp không?
321,D0321.mp4,đẹp không?
324,D0324.mp4,không ngon
322,D0322.mp4,xem đã
323,D0323.mp4,mồ hôi nhễ nhại
325,D0325.mp4,hài lòng
326,D0326.mp4,má hồng
327,D0327.mp4,ngập ngừng
328,D0328.mp4,nói ngập ngừng
329,D0329.mp4,Võ Thị Sáu
330,D0330.mp4,mít tinh
331,D0331.mp4,sụp đổ
332,D0332.mp4,thiếu thốn
333,D0333.mp4,thiếu thốn
334,D0334.mp4,thiếu thốn
335,D0335.mp4,xuyên Việt
336,D0336.mp4,khổ công
338,D0338.mp4,dám làm
337,D0337.mp4,dám làm
339,D0339.mp4,dám làm
340,D0340.mp4,không dám
341,D0341.mp4,không dám
342,D0342.mp4,không dám
343,D0343.mp4,phiền hà
344,D0344.mp4,đèn ông sao
345,D0345.mp4,ung thư
346,D0346.mp4,ung thư
347,D0347.mp4,ung thư
348,D0348.mp4,phó hiệu trưởng
349,D0349.mp4,phó hiệu trưởng
350,D0350.mp4,phó hiệu trưởng
351,D0351.mp4,Ô-lim-píc
352,D0352.mp4,vòng nguyệt quế
353,D0353.mp4,hữu nghị
355,D0355.mp4,mũi tên
354,D0354.mp4,bắn cung tên
356,D0356.mp4,cung tên
357,D0357.mp4,tận số
358,D0358.mp4,nứt nẻ (ruộng)
360,D0360.mp4,Mã Lai (nước Ma-lai-xi-a)
359,D0359.mp4,Mã Lai (nước Ma-lai-xi-a)
361,D0361.mp4,Mã Lai (nước Ma-lai-xi-a)
362,D0362.mp4,số La Mã (Toán học)
363,D0363.mp4,Long Vương
364,D0364.mp4,đàng hoàng
366,D0366.mp4,lau miệng
365,D0365.mp4,phân vân
367,D0367.mp4,chó cắn
369,D0369.mp4,quan hệ từ
368,D0368.mp4,mèo cào
371,D0371.mp4,quan (chức vụ)
370,D0370.mp4,yêu nước Việt Nam
372,D0372.mp4,đi tuần
374,D0374.mp4,hốt hoảng
373,D0373.mp4,vỗ về
375,D0375.mp4,chuyện nhỏ
377,D0377.mp4,cái gùi
376,D0376.mp4,chuyện lớn
380,D0380.mp4,nhưng
379,D0379.mp4,bất khuất
378,D0378.mp4,hùng vĩ
381,D0381.mp4,nhưng
382,D0382.mp4,nhưng
384,D0384.mp4,hay là (hoặc là)
383,D0383.mp4,hay là (hoặc là)
385,D0385.mp4,hay là (hoặc là)
386,D0386.mp4,Thăng Long
387,D0387.mp4,dãy núi Hoàng Liên Sơn
389,D0389.mp4,gấp đôi
388,D0388.mp4,quanh năm
390,D0390.mp4,gấp ba
392,D0392.mp4,chia đôi
391,D0391.mp4,chia đôi
393,D0393.mp4,chia đôi
394,D0394.mp4,chia ba
395,D0395.mp4,chia ba
396,D0396.mp4,chia ba
397,D0397.mp4,"đi lạc (đường, rừng..)"
398,D0398.mp4,mất (chết) (chỉ người)
399,D0399.mp4,đại sứ
400,D0400.mp4,cảnh giác
401,D0401.mp4,giám sát
403,D0403.mp4,ăn vụng
404,D0404.mp4,xảy ra
406,D0406.mp4,đầu tư
405,D0405.mp4,dự án
402,D0402.mp4,quan sát
407,D0407.mp4,năn nỉ
408,D0408.mp4,háo hức
410,D0410.mp4,tải về
409,D0409.mp4,rắc rối
411,D0411.mp4,nhõng nhẽo
412,D0412.mp4,hên/gặp may
416,D0416.mp4,lạnh lùng
414,D0414.mp4,xui xẻo
417,D0417.mp4,lạnh lùng
419,D0419.mp4,dỗi
418,D0418.mp4,lạnh lùng
420,D0420.mp4,dỗi
413,D0413.mp4,đen đủi
421,D0421.mp4,dỗi
422,D0422.mp4,liếc nhìn
415,D0415.mp4,long lanh (mắt)
423,D0423.mp4,liếc nhìn
424,D0424.mp4,liếc nhìn
426,D0426.mp4,nhổ râu
425,D0425.mp4,nhổ tóc
428,D0428.mp4,cắt lông mũi
427,D0427.mp4,nhổ lông mày
430,D0430.mp4,răng hô
431,D0431.mp4,răng khểnh
432,D0432.mp4,kháu khỉnh
433,D0433.mp4,mọc tóc
434,D0434.mp4,mọc râu
429,D0429.mp4,nhổ răng
435,D0435.mp4,mọc ria mép
436,D0436.mp4,Cô vy (covid)
437,D0437.mp4,Cố đô Huế
438,D0438.mp4,cách ly
439,D0439.mp4,giãn cách xã hội
440,D0440.mp4,tương lai
441,D0441.mp4,ria mép
442,D0442.mp4,trong khoảng
443,D0443.mp4,trốn tìm
444,D0444.mp4,nhảy bao bố
445,D0445.mp4,nhảy lò cò
446,D0446.mp4,kéo co
447,D0447.mp4,hội thoại
